etablissement_code,university_code,label_ar,label_fr,website,gouvernorat,type,lat,lon
1306,13,?????? ?????? ???????? ??????????? ?????,Institut Supérieur des Etudes Technologiques de Béja,isetbeja.wordpress.com,Béja,Public,36.73009993310565, 9.202203885886496
1321,13,?????? ?????? ???????? ??????????? ?????,Institut Supérieur des Etudes Technologiques de Bizerte,isetbz.rnu.tn,Bizerte,Public,37.23572203211368, 9.885430884234594
1301,13,?????? ?????? ???????? ??????????? ????????,Institut Supérieur des Etudes Technologiques de Charguia,isetch.rnu.tn,Ariana,Public,36.85129121672034, 10.211684906763454
1316,13,?????? ?????? ???????? ??????????? ?????,Institut Supérieur des Etudes Technologiques de Gabés,isetgb.rnu.tn,Gabés,Public,33.86416397969313, 10.102780125423761
1319,13,?????? ?????? ???????? ??????????? ?????,Institut Supérieur des Etudes Technologiques de Gafsa,isetgf.rnu.tn,Gafsa,Public,34.42990381420266, 8.762775239332587
1309,13,?????? ?????? ???????? ??????????? ???????,Institut Supérieur des Etudes Technologiques de Jendouba,isetj.rnu.tn,Jendouba,Public,36.50679001620653, 8.759643719253052
1308,13,?????? ?????? ???????? ??????????? ?????,Institut Supérieur des Etudes Technologiques de Jerba,isetjb.rnu.tn,Médenine,Public,33.81804187368521, 10.973185459651953
1303,13,?????? ?????? ???????? ??????????? ?????????,Institut Supérieur des Etudes Technologiques de Kairouan,isetkr.rnu.tn,Kairouan,Public,35.598328181584, 10.06347416748433
1302,13,?????? ?????? ???????? ??????????? ????????,Institut Supérieur des Etudes Technologiques de Kasserine,isetks.rnu.tn,Kasserine,Public,35.16693941371468, 8.779597519819408
1317,13,?????? ?????? ???????? ??????????? ?????,Institut Supérieur des Etudes Technologiques de Kebili,isetke.rnu.tn,Kébili,Public,33.733586474517814, 8.986248612113236
1325,13,?????? ?????? ???????? ??????????? ???????,Institut Supérieur des Etudes Technologiques de Kélibia,isetkl.rnu.tn,Nabeul,Public,36.853181460933314, 11.059341090106049
1318,13,?????? ?????? ???????? ??????????? ???? ????,Institut Supérieur des Etudes Technologiques de Ksar Hellal,isetkh.rnu.tn,Monastir,Public,35.652942763685864, 10.889368890129157
1305,13,?????? ?????? ???????? ??????????? ????????,Institut Supérieur des Etudes Technologiques de Mahdia,isetma.rnu.tn,Mahdia,Public,35.52275560773197, 11.031277440961647
1323,13,?????? ?????? ???????? ??????????? ?????,Institut Supérieur des Etudes Technologiques de Médenine,isetmd.rnu.tn,Médenine,Public,33.49740219213981, 10.644278727626956
1320,13,?????? ?????? ???????? ??????????? ?????,Institut Supérieur des Etudes Technologiques de Nabeul,isetn.rnu.tn,Nabeul,Public,36.43659337999381, 10.676887663932606
1310,13,?????? ?????? ???????? ??????????? ?????,Institut Supérieur des Etudes Technologiques de Rades,isetr.rnu.tn,Ben Arous,Public,36.76059240115886, 10.271036927743939
1315,13,?????? ?????? ???????? ??????????? ??????,Institut Supérieur des Etudes Technologiques de Sfax,isetsf.rnu.tn,Sfax,Public,34.758311842969846, 10.771355681149776
1314,13,?????? ?????? ???????? ??????????? ????? ?????,Institut Supérieur des Etudes Technologiques de Sidi Bouzid,isetsbz.rnu.tn,Sidi Bouzid,Public,35.029024107142035, 9.458727220734803
1312,13,?????? ?????? ???????? ??????????? ???????,Institut Supérieur des Etudes Technologiques de Siliana,https://isetsl.rnu.tn/,Siliana,Public,36.076365235794896, 9.38245622416482
1313,13,?????? ?????? ???????? ??????????? ?????,Institut Supérieur des Etudes Technologiques de Sousse,isetso.rnu.tn,Sousse,Public,35.802275038005796, 10.614493652391715
1307,13,?????? ?????? ???????? ??????????? ???????,Institut Supérieur des Etudes Technologiques de Tataouine,isetta.rnu.tn,Tataouine,Public,32.949939611003025, 10.474754568359963
1322,13,?????? ?????? ???????? ??????????? ????,Institut Supérieur des Etudes Technologiques de Tozeur,isett.rnu.tn,Tozeur,Public,33.91615448238502, 8.08834607374582
1311,13,?????? ?????? ???????? ??????????? ??????,Institut Supérieur des Etudes Technologiques de Zaghouan,isetzg.rnu.tn,Zaghouan,Public,36.43364731443301, 10.092293480901656
1304,13,?????? ?????? ???????? ??????????? ??????,Institut Supérieur des Etudes Technologiques du Kef,isetkf.rnu.tn,Le Kef,Public,36.12466456317538, 8.724899951190796
1324,13,?????? ?????? ???????? ??????????? ???????,Institut Supérieur des Etudes Technologiques en Communications de Tunis,www.isetcom.tn,Ariana,Public,36.8910302576336, 10.184364025642822
422,4,??????? ??????? ??????? ????????? ????????,Ecole Nationale d'Architecture et d'Urbanisme de Tunis,www.enau.rnu.tn,Tunis,Public,36.87274779508976, 10.338539210885232
433,4,??????? ??????? ?????? ????????????? ???????? ???? ???????,Ecole Nationale des Sciences et Technologies Avancées de Borj Cédria,www.enstab.rnu.tn,Nabeul,Public,36.70788156253631, 10.427547288131262
431,4,??????? ??????? ????????? ??????,Ecole Nationale d'Ingénieurs de Bizerte,enib.tn,Bizerte,Public,37.23499271996277, 9.884640209679056
428,4,??????? ??????? ????????? ??????,Ecole Nationale d'Ingénieurs de Carthage,enicarthage.rnu.tn,Ariana,Public,36.85181087235165, 10.211349609953688
430,4,??????? ???????? ????????,Ecole Polytechnique de Tunisie,www.ept.rnu.tn,Tunis,Public,36.87946633179844, 10.33640017641931
425,4,???????? ?????? ????????? ???????,Ecole Supérieure d'Agriculture de Mateur,esamateur.agrinet.tn/index.php/fr/,Bizerte,Public,37.05205748305532, 9.62125104012608
424,4,???????? ?????? ???????? ??????,Ecole Supérieure d'Agriculture de Mograne,esamograne.agrinet.tn,Zaghouan,Public,36.426324228633604, 10.095044093411246
427,4,??????? ?????? ?????? ?????? ???????? ?????,Ecole Supérieure de l'Audiovisuel et du Cinéma de Gammarth,www.esac.rnu.tn,Tunis,Public,36.8995872483749, 10.312115608948105
423,4,??????? ?????? ????????? ?????,Ecole Supérieure des Communications de Tunis,supcom.tn,Ariana,Public,36.89208150458829, 10.18746280390686
426,4,???????? ?????? ???????? ?????????? ?????,Ecole Supérieure des Industries Alimentaires de Tunis,esiat.agrinet.tn,Tunis,Public,36.83149658789578, 10.188141620904872
429,4,??????? ?????? ??????? ?????? ?????????,Ecole Supérieure des Statistiques et d'Analyse de l'Information,essai.rnu.tn,Ariana,Public,36.85763989108804, 10.209579677291128
401,4,???? ???????? ??????,Faculté des Sciences de Bizerte,www.fsb.rnu.tn,Bizerte,Public,37.268148693329046, 9.879468541737548
403,4,???? ?????? ?????????? ??????? ?????,Faculté des Sciences Economiques et de Gestion de Nabeul,www.fsegn.rnu.tn,Nabeul,Public,36.43463442960473, 10.6891382392328
402,4,???? ?????? ????????? ????????? ??????????? ?????,"Faculté des Sciences Juridiques, Politiques et Sociales de Tunis",www.fsjpst.rnu.tn,Tunis,Public,36.845506934796, 10.187244342700723
404,4,???? ???????? ?????? ???????? ??????,Institut des Hautes Etudes Commerciales de Carthage,www.ihec.rnu.tn,Tunis,Public,36.86284730119126, 10.33733397110563
406,4,?????? ?????? ?????? ???????? ?????,Institut National Agronomique de Tunisie,inat.tn/fr,Tunis,Public,36.82788795140715, 10.18082928720551
407,4,?????? ?????? ?????? ????????? ????????????,Institut National des Sciences Appliquées et de Technologie de Tunis,https://insat.rnu.tn/,Tunis,Public,36.84302664812697, 10.197644056257516
408,4,?????? ?????? ????? ????????? ??????????,Institut National du Travail et des Etudes Sociales de Tunis,intes.rnu.tn,Ariana,Public,36.85639850868952, 10.205744804801416
419,4,?????? ???????? ???????? ???????? ??????,Institut Préparatoire aux Etudes d'Ingénieurs de Bizerte,ipeib.rnu.tn,Bizerte,Public,37.26448477230625, 9.872892940519135
418,4,?????? ???????? ???????? ???????? ?????,Institut Préparatoire aux Etudes d'Ingénieurs de Nabeul,www.ipein.rnu.tn,Nabeul,Public,36.43733872003593, 10.679065915822196
420,4,?????? ???????? ???????? ??????? ???????? ???????,Institut Préparatoire aux Etudes Scientifiques et techniques,www.ipest.rnu.tn,Tunis,Public,36.87305006920635, 10.333993565193891
415,4,?????? ?????? ?????? ??????,Institut Supérieur de Gestion de Bizerte,www.isccb.rnu.tn,Bizerte,Public,37.23626010125224, 9.882473267614202
413,4,?????? ?????? ????? ?????? ?????? ??????? ???????,Institut Supérieur de Péche et d'Aquaculture de Bizerte,ispab.agrinet.tn/index.php/ar/,Bizerte,Public,37.25411659046017, 9.908906505562289
409,4,?????? ?????? ?????? ???????? ??????,Institut Supérieur des Beaux Arts de Nabeul,www.isban.rnu.tn,Nabeul,Public,36.43513620928559, 10.686595492422247
421,4,?????? ?????? ??????? ???????????? ?????? ????,Institut Supérieur des Cadres de l'Enfance Carthage Dermech,iscenf.rnu.tn,Tunis,Public,36.849092854271156, 10.329059079839139
414,4,?????? ?????? ???????? ????????? ?? ?????????? ? ?????????? ?????,Institut Supérieur des Etudes Préparatoires en Biologie et Géologie é Soukra,www.isepbgsoukra.agrinet.tn,Ariana,Public,36.8815311394077, 10.237643189709548
405,4,???? ???????? ???????? ?????? ????? ??????,Institut Supérieur des Etudes Touristique de Sidi Dhrif,ihet.rnu.tn,Tunis,Public,36.876470160631555, 10.342174046919782
411,4,?????? ?????? ????? ?????,Institut Supérieur des Langues de Nabeul,isln.rnu.tn,Nabeul,Public,36.44981352088084, 10.724085198425344
410,4,?????? ?????? ????? ?????,Institut Supérieur des Langues de Tunis,www.islt.rnu.tn,Tunis,Public,36.83396422611153, 10.19466087926597
412,4,?????? ?????? ?????? ????????? ???????????? ?????,Institut Supérieur des Sciences Appliquées et de la Technologie de Mateur,www.issatm.rnu.tn,Bizerte,Public,37.046327055904705, 9.64630524067979
416,4,?????? ?????? ????? ??????????? ?????? ???? ???????,Institut Supérieur des Sciences et Technologies de l'Environnement de Borj Cédria,www.isste.rnu.tn,Nabeul,Public,36.70684835560544, 10.429535245094579
417,4,?????? ?????? ??????????? ?????? ???????? ????????,Institut Supérieur des Technologies de léEnvironnement de l'Urbanisme et du Bétiment,isteub.rnu.tn,Ariana,Public,36.85189365541197, 10.210464545726015
432,4,?????? ?????? ??????????? ????????? ???????? ???? ???????,Institut Supérieur des Technologies de l'Information et de la Communication,www.istic.rnu.tn,Nabeul,Public,36.708113010172404, 10.428539690514892
